name,title,default_crs,bbox_raw
datafinder.stats.govt.nz:layer-104278,Meshblock Higher Geographies 2020 (high definition),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104279,Meshblock 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104280,Meshblock 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104420,Statistical Area 2 2020 (Centroid True),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.7216390422522 -46.92829109618013</ns0:LowerCorner><ns0:UpperCorner>184.08584625266963 -34.15981574927128</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104426,Statistical Area 2 2020 (Centroid Inside),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.58784652121102 -46.876096397408936</ns0:LowerCorner><ns0:UpperCorner>184.54630261979042 -34.156533305286885</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104427,Statistical Area 1 2020 (Centroid True),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.63075715969956 -46.92195621048399</ns0:LowerCorner><ns0:UpperCorner>184.2255390096138 -34.15981574927128</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104428,Statistical Area 1 2020 (Centroid Inside),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.63086063214348 -46.87512270928569</ns0:LowerCorner><ns0:UpperCorner>184.4076875357995 -34.156533305286885</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104429,Meshblock 2020 (Centroid True),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.32670907752947 -47.18239160045689</ns0:LowerCorner><ns0:UpperCorner>184.28228868493792 -34.15981574927128</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104430,Meshblock 2020 (Centroid Inside),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.294169393 -47.375088848147705</ns0:LowerCorner><ns0:UpperCorner>184.401331430522 -34.161413852130686</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104578,2018 Census electoral population (Meshblock 2020),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104579,Māori Electorates 2020,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>170.92078422317508 -47.508933900041626</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104580,General Electorates 2020,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
